     287    1.800    3.200    0.010     -150.3729802
     288    1.800    3.200   10.000     -150.4083578
     289    1.800    3.200   20.000     -150.4620741
     290    1.800    3.200   30.000     -150.4794168
     291    1.800    3.200   40.000     -150.4671557
     292    1.800    3.200   50.000     -150.4650032
     293    1.800    3.200   60.000     -150.4750588
     294    1.800    3.200   73.670     -150.4865473
     295    1.800    3.200   80.000     -150.4920511
     296    1.800    3.200   90.000     -150.4994484
     297    1.800    3.200  100.000     -150.5041061
     298    1.800    3.200  110.000     -150.5060132
     299    1.800    3.200  120.000     -150.5056964
     300    1.800    3.200  130.000     -150.5045890
     301    1.800    3.200  140.000     -150.5033589
     302    1.800    3.200  150.000     -150.5020387
     303    1.800    3.200  160.000     -150.5007485
     304    1.800    3.200  170.000     -150.4997678
     305    1.800    3.200  179.990     -150.4994007
       0    0.000    0.000    0.000        0.0000000
     306    1.800    3.300    0.010     -150.4111335
     307    1.800    3.300   10.000     -150.4357589
     308    1.800    3.300   20.000     -150.4718433
     309    1.800    3.300   30.000     -150.4801800
     310    1.800    3.300   40.000     -150.4684222
     311    1.800    3.300   50.000     -150.4727025
     312    1.800    3.300   60.000     -150.4816954
     313    1.800    3.300   74.170     -150.4919434
     314    1.800    3.300   80.000     -150.4962594
     315    1.800    3.300   90.000     -150.5025837
     316    1.800    3.300  100.000     -150.5065772
     317    1.800    3.300  110.000     -150.5081826
     318    1.800    3.300  120.000     -150.5079833
     319    1.800    3.300  130.000     -150.5070957
     320    1.800    3.300  140.000     -150.5060420
     321    1.800    3.300  150.000     -150.5049171
     322    1.800    3.300  160.000     -150.5038428
     323    1.800    3.300  170.000     -150.5030397
     324    1.800    3.300  179.990     -150.5027410
       0    0.000    0.000    0.000        0.0000000
     325    1.800    3.400    0.010     -150.4326604
     326    1.800    3.400   10.000     -150.4505241
     327    1.800    3.400   20.000     -150.4756294
     328    1.800    3.400   30.000     -150.4792264
     329    1.800    3.400   40.000     -150.4700455
     330    1.800    3.400   50.000     -150.4793845
     331    1.800    3.400   60.000     -150.4874008
     332    1.800    3.400   74.650     -150.4965419
     333    1.800    3.400   80.000     -150.4999171
     334    1.800    3.400   90.000     -150.5053063
     335    1.800    3.400  100.000     -150.5087086
     336    1.800    3.400  110.000     -150.5100594
     337    1.800    3.400  120.000     -150.5099404
     338    1.800    3.400  130.000     -150.5092268
     339    1.800    3.400  140.000     -150.5083355
     340    1.800    3.400  150.000     -150.5073875
     341    1.800    3.400  160.000     -150.5064974
     342    1.800    3.400  170.000     -150.5058409
     343    1.800    3.400  179.990     -150.5055980
       0    0.000    0.000    0.000        0.0000000
     344    1.800    3.500    0.010     -150.4425019
     345    1.800    3.500   10.000     -150.4565138
     346    1.800    3.500   20.000     -150.4754205
     347    1.800    3.500   30.000     -150.4775569
     348    1.800    3.500   40.000     -150.4723215
     349    1.800    3.500   50.000     -150.4851689
     350    1.800    3.500   60.000     -150.4923040
     351    1.800    3.500   75.100     -150.5004582
     352    1.800    3.500   80.000     -150.5030890
     353    1.800    3.500   90.000     -150.5076663
     354    1.800    3.500  100.000     -150.5105472
     355    1.800    3.500  110.000     -150.5116835
     356    1.800    3.500  120.000     -150.5116183
     357    1.800    3.500  130.000     -150.5110406
     358    1.800    3.500  140.000     -150.5102938
     359    1.800    3.500  150.000     -150.5095022
     360    1.800    3.500  160.000     -150.5087683
     361    1.800    3.500  170.000     -150.5082328
     362    1.800    3.500  179.990     -150.5080355
       0    0.000    0.000    0.000        0.0000000
     363    1.800    3.600    0.010     -150.4441460
     364    1.800    3.600   10.000     -150.4564382
     365    1.800    3.600   20.000     -150.4728502
     366    1.800    3.600   30.000     -150.4760397
     367    1.800    3.600   40.000     -150.4753583
     368    1.800    3.600   50.000     -150.4901684
     369    1.800    3.600   60.000     -150.4965174
     370    1.800    3.600   75.520     -150.5037899
     371    1.800    3.600   80.000     -150.5058318
     372    1.800    3.600   90.000     -150.5097067
     373    1.800    3.600  100.000     -150.5121321
     374    1.800    3.600  110.000     -150.5130879
     375    1.800    3.600  120.000     -150.5130568
     376    1.800    3.600  130.000     -150.5125886
     377    1.800    3.600  140.000     -150.5119661
     378    1.800    3.600  150.000     -150.5113082
     379    1.800    3.600  160.000     -150.5107057
     380    1.800    3.600  170.000     -150.5102699
     381    1.800    3.600  179.990     -150.5101099
       0    0.000    0.000    0.000        0.0000000
     382    1.800    3.800    0.010     -150.4321631
     383    1.800    3.800   10.000     -150.4457927
     384    1.800    3.800   20.000     -150.4663720
     385    1.800    3.800   30.000     -150.4758634
     386    1.800    3.800   40.000     -150.4836206
     387    1.800    3.800   50.000     -150.4982074
     388    1.800    3.800   60.000     -150.5032480
     389    1.800    3.800   70.000     -150.5068450
     390    1.800    3.800   76.300     -150.5090170
     391    1.800    3.800   80.000     -150.5102274
     392    1.800    3.800   90.000     -150.5129761
     393    1.800    3.800  100.000     -150.5146692
     394    1.800    3.800  110.000     -150.5153386
     395    1.800    3.800  120.000     -150.5153397
     396    1.800    3.800  130.000     -150.5150286
     397    1.800    3.800  140.000     -150.5146014
     398    1.800    3.800  150.000     -150.5141546
