 ab inito points for HO2 Data: 2007/3/17. modifie le 29oct2007: th = 0.0, 180.0   
   n1 n2  n3    r(OH)       th(OOH)      r(OO)      V(MRCI) 
   1   7  30    1.000000   60.000000   20.000000  -150.04032509
   0   0   0    0.000000    0.000000    0.000000     0.00000000
   1   8   1    1.000000   70.000000    1.400000  -148.40386703
   1   8   2    1.000000   70.000000    1.650000  -149.37391019
   1   8   3    1.000000   70.000000    1.900000  -149.81428778
   1   8   4    1.000000   70.000000    2.100000  -149.98181298
   1   8   5    1.000000   70.000000    2.200000  -150.03089904
   1   8   6    1.000000   70.000000    2.250000  -150.04940720
   1   8   7    1.000000   70.000000    2.300000  -150.06462240
   1   8   8    1.000000   70.000000    2.400000  -150.08692087
   1   8   9    1.000000   70.000000    2.500000  -150.10071651
   1   8  10    1.000000   70.000000    2.550000  -150.10513270
   1   8  11    1.000000   70.000000    2.600000  -150.10819931
   1   8  12    1.000000   70.000000    2.700000  -150.11103247
   1   8  13    1.000000   70.000000    2.800000  -150.11049683
   1   8  14    1.000000   70.000000    3.000000  -150.10303098
   1   8  15    1.000000   70.000000    3.250000  -150.08842979
   1   8  16    1.000000   70.000000    3.500000  -150.07397634
   1   8  17    1.000000   70.000000    3.800000  -150.06062953
   1   8  18    1.000000   70.000000    4.200000  -150.05027038
   1   8  19    1.000000   70.000000    4.800000  -150.04406230
   1   8  20    1.000000   70.000000    5.500000  -150.04202895
   1   8  21    1.000000   70.000000    6.500000  -150.04125125
   1   8  22    1.000000   70.000000    7.300000  -150.04089410
   1   8  23    1.000000   70.000000    8.000000  -150.04054274
   1   8  24    1.000000   70.000000    8.800000  -150.04049147
   1   8  25    1.000000   70.000000    9.500000  -150.04036076
   1   8  26    1.000000   70.000000   11.000000  -150.04031903
   1   8  27    1.000000   70.000000   12.500000  -150.04031841
   1   8  28    1.000000   70.000000   14.000000  -150.04031937
   1   8  29    1.000000   70.000000   16.000000  -150.04032511
   1   8  30    1.000000   70.000000   20.000000  -150.04032509
   0   0   0    0.000000    0.000000    0.000000     0.00000000
   1   9   1    1.000000   80.000000    1.400000  -148.52655645
   1   9   2    1.000000   80.000000    1.650000  -149.46320931
   1   9   3    1.000000   80.000000    1.900000  -149.87823728
   1   9   4    1.000000   80.000000    2.100000  -150.03020406
   1   9   5    1.000000   80.000000    2.200000  -150.07279155
   1   9   6    1.000000   80.000000    2.250000  -150.08833312
   1   9   7    1.000000   80.000000    2.300000  -150.10075929
   1   9   8    1.000000   80.000000    2.400000  -150.11798348
   1   9   9    1.000000   80.000000    2.500000  -150.12733152
   1   9  10    1.000000   80.000000    2.550000  -150.12974211
   1   9  11    1.000000   80.000000    2.600000  -150.13093960
   1   9  12    1.000000   80.000000    2.700000  -150.13041540
   1   9  13    1.000000   80.000000    2.800000  -150.12698294
   1   9  14    1.000000   80.000000    3.000000  -150.11477108
   1   9  15    1.000000   80.000000    3.250000  -150.09606034
   1   9  16    1.000000   80.000000    3.500000  -150.07876588
   1   9  17    1.000000   80.000000    3.800000  -150.06320068
   1   9  18    1.000000   80.000000    4.200000  -150.05129270
   1   9  19    1.000000   80.000000    4.800000  -150.04428887
   1   9  20    1.000000   80.000000    5.500000  -150.04197698
   1   9  21    1.000000   80.000000    6.500000  -150.04115277
   1   9  22    1.000000   80.000000    7.300000  -150.04081772
   1   9  23    1.000000   80.000000    8.000000  -150.04065213
   1   9  24    1.000000   80.000000    8.800000  -150.04046381
   1   9  25    1.000000   80.000000    9.500000  -150.04034059
   1   9  26    1.000000   80.000000   11.000000  -150.04032825
   1   9  27    1.000000   80.000000   12.500000  -150.04032413
   1   9  28    1.000000   80.000000   14.000000  -150.04032296
   1   9  29    1.000000   80.000000   16.000000  -150.04032511
   1   9  30    1.000000   80.000000   20.000000  -150.04032509
   0   0   0    0.000000    0.000000    0.000000     0.00000000
   1  10   1    1.000000   90.000000    1.400000  -148.61953314
   1  10   2    1.000000   90.000000    1.650000  -149.52893847
   1  10   3    1.000000   90.000000    1.900000  -149.92356524
   1  10   4    1.000000   90.000000    2.100000  -150.06317374
   1  10   5    1.000000   90.000000    2.200000  -150.10067158
   1  10   6    1.000000   90.000000    2.250000  -150.11391159
   1  10   7    1.000000   90.000000    2.300000  -150.12418871
   1  10   8    1.000000   90.000000    2.400000  -150.13754492
   1  10   9    1.000000   90.000000    2.500000  -150.14355382
   1  10  10    1.000000   90.000000    2.550000  -150.14447656
   1  10  11    1.000000   90.000000    2.600000  -150.14429856
   1  10  12    1.000000   90.000000    2.700000  -150.14133432
   1  10  13    1.000000   90.000000    2.800000  -150.13583434
   1  10  14    1.000000   90.000000    3.000000  -150.12032701
   1  10  15    1.000000   90.000000    3.250000  -150.09897046
   1  10  16    1.000000   90.000000    3.500000  -150.08008028
   1  10  17    1.000000   90.000000    3.800000  -150.06354655
   1  10  18    1.000000   90.000000    4.200000  -150.05125284
   1  10  19    1.000000   90.000000    4.800000  -150.04423647
   1  10  20    1.000000   90.000000    5.500000  -150.04191806
   1  10  21    1.000000   90.000000    6.500000  -150.04107320
   1  10  22    1.000000   90.000000    7.300000  -150.04075842
   1  10  23    1.000000   90.000000    8.000000  -150.04056448
   1  10  24    1.000000   90.000000    8.800000  -150.04038294
   1  10  25    1.000000   90.000000    9.500000  -150.04036164
   1  10  26    1.000000   90.000000   11.000000  -150.04033670
   1  10  27    1.000000   90.000000   12.500000  -150.04032988
   1  10  28    1.000000   90.000000   14.000000  -150.04032671
   1  10  29    1.000000   90.000000   16.000000  -150.04032511
   1  10  30    1.000000   90.000000   20.000000  -150.04032509
   0   0   0    0.000000    0.000000    0.000000     0.00000000
   1  11   1    1.000000  100.000000    1.400000  -148.68717754
   1  11   2    1.000000  100.000000    1.650000  -149.57380806
   1  11   3    1.000000  100.000000    1.900000  -149.95220049
   1  11   4    1.000000  100.000000    2.100000  -150.08233809
